Var1,Var2,Var3,Var4,Var5,Var6,Var7
Indicador,Erro Abs(Delta),Erro Delta(Abs),Erro Angle(Delta),Erro Delta(Angle),Erro Pt. Real,Erro Pt. Imag.
MaxErroComp,18.8961204857859,57.1498421580906,0.635281302647372,0.0618973511945454,49.2380066076444,6.04241327537242
MaxErroPercentComp,0.309103920526619,3.29506022187052,0.306688946928768,0.223465439411226,1.59987007745393,0.112668403456102
MinErroComp,-0.0656961577470987,-0.197635423094585,-0.43534403909377,-0.00506914813966486,0.178021351137186,0.559326608490366
MinErroPercentComp,-0.0369403574994335,-0.264622368584926,-0.959094167005112,-0.53664192378381,1.74160752669592,0.603685588660724
MeanAvgErrorComp,11.0153438207943,17.9014509573999,-0.146497016745639,-0.00745681297930288,16.4454307748704,-2.70742392679831
MeanAvgErrorPercentComp,39.3739083096105,298.58820913641,-8.61724563577328,-5.76074448723674,160.830288744447,-10.6669550197376
MeanSysErrorPercentComp,4.6688864436299,7.58758356126223,-25.7605113994476,-1.31123022177582,8.1926213208678,-2.22031956765083
stdAvgErrorComp,5.02406777294744,17.0979738721759,0.492615069859861,0.0371883051569021,12.2856772103489,2.27712880476308
stdAvgErrorPercentComp,29.1584982153452,377.496250337653,109.867698369437,47.7954822355799,120.422542310056,15.0538764300636
cvErrorPercentComp,-4.51414112877492,14.9559237770716,34.1960766987918,34.1604061093106,-15.4568326472473,17.1591715939339
stdSysErrorComp,3.12559960427699,8.94403721392694,112.755400552153,8.38025412647627,7.95663516356132,2.69551735211237
mapeComp,5.92617458277753,8.92570071771886,-16.0844214486324,-0.543384078059876,10.8190087941942,-2.43283460824648
stdMapeComp,-1.59500928843028,-3.47412678217742,-0.755705103227371,-0.0081299564511923,-3.93178901157611,-0.248317405737396
