Var1,Var2,Var3,Var4,Var5,Var6,Var7
Indicador,Erro Abs(Delta),Erro Delta(Abs),Erro Angle(Delta),Erro Delta(Angle),Erro Pt. Real,Erro Pt. Imag.
MaxErroComp,5.69464569433487,19.3232878923506,0.0199616052946445,0.0618973511945453,0,9.66076491116562
MaxErroPercentComp,0.207207465359389,1.56930269836738,0.00771112066799201,0.223465439411226,0,0.600287117943973
MinErroComp,0.0154685465432642,0.00495886438316523,-1.3033919223221,-0.00506914813966475,-0.0279472770111213,0.0151249061395682
MinErroPercentComp,0.242173541895414,0.297623176867664,-0.786386612490637,-0.536641923783804,-0.616617015949266,0.336056043116206
MeanAvgErrorComp,3.36468729096668,4.1338350410494,-0.860704368377638,-0.00745681297930295,0.94121050352252,2.95646736787618
MeanAvgErrorPercentComp,52.4285099573442,194.710920871452,-35.8792884900392,-5.76074448723679,19.6071410634772,70.940784818394
MeanSysErrorPercentComp,6.6820311563305,8.20950422750487,-151.349052599779,-1.31123022177583,2.21623301077672,11.0527955062897
stdAvgErrorComp,2.2561244832938,5.34401507380888,0.584510006875391,0.0371883051569021,1.39905226102184,2.57986470550632
stdAvgErrorPercentComp,28.0419670775319,189.1653256045,261.000844811516,47.7954822355798,23.1150866729162,47.9726358361802
cvErrorPercentComp,-20.0567898457621,-2.50389003384092,43.223771247188,34.1604061093106,3.69795533323001,-17.3383015412501
stdSysErrorComp,6.91186722083793,12.7832220954428,69.7186041094095,8.38025412647627,3.77594791910528,16.82732634496
mapeComp,7.54253957546472,9.58939772913914,-156.407270606343,-0.543384078059887,1.03546487416897,13.6031124147928
stdMapeComp,-1.89853691208407,-3.21200083896867,-69.0446681337383,-0.00812995645119585,-0.0511309732890588,-3.44702025809909
