Var1,Var2,Var3,Var4,Var5
Erro (%),% Cargas - Erro Abs(Delta),% Cargas - Erro Delta(Angle),% Cargas - Erro Real,% Cargas - Erro Imag
0,0,0,0,0
0.1,0,0,0,0
0.2,0,0,5.88235294117647,0
0.3,0,0,5.88235294117647,0
0.4,0,0,5.88235294117647,0
0.5,0,0,5.88235294117647,0
0.6,0,0,5.88235294117647,0
0.7,0,0,5.88235294117647,0
0.8,0,0,11.7647058823529,0
0.9,0,5.88235294117647,11.7647058823529,0
1,0,5.88235294117647,11.7647058823529,0
2,0,5.88235294117647,17.6470588235294,0
3,0,23.5294117647059,17.6470588235294,0
4,0,23.5294117647059,23.5294117647059,0
5,0,29.4117647058824,23.5294117647059,0
6,0,29.4117647058824,23.5294117647059,5.88235294117647
7,0,29.4117647058824,23.5294117647059,5.88235294117647
8,11.7647058823529,29.4117647058824,29.4117647058824,11.7647058823529
9,23.5294117647059,29.4117647058824,47.0588235294118,17.6470588235294
10,35.2941176470588,29.4117647058824,47.0588235294118,17.6470588235294
20,64.7058823529412,52.9411764705882,76.4705882352941,47.0588235294118
30,70.5882352941177,76.4705882352941,88.2352941176471,64.7058823529412
40,82.3529411764706,82.3529411764706,100,76.4705882352941
50,100,88.2352941176471,100,76.4705882352941
60,100,100,100,82.3529411764706
70,100,100,100,88.2352941176471
80,100,100,100,88.2352941176471
90,100,100,100,100
100,100,100,100,100
Inf,100,100,100,100
