Var1,Var2,Var3,Var4,Var5
Erro (%),% Cargas - Erro Abs(Delta),% Cargas - Erro Delta(Angle),% Cargas - Erro Real,% Cargas - Erro Imag
0,0,0,0,0
0.1,0,0,0,0
0.2,0,0,0,0
0.3,0,0,5.88235294117647,0
0.4,0,0,5.88235294117647,0
0.5,0,0,17.6470588235294,0
0.6,0,0,17.6470588235294,0
0.7,0,0,17.6470588235294,0
0.8,0,0,17.6470588235294,5.88235294117647
0.9,0,5.88235294117647,17.6470588235294,5.88235294117647
1,0,5.88235294117647,17.6470588235294,5.88235294117647
2,0,5.88235294117647,17.6470588235294,5.88235294117647
3,0,23.5294117647059,17.6470588235294,5.88235294117647
4,0,23.5294117647059,17.6470588235294,5.88235294117647
5,0,29.4117647058824,17.6470588235294,5.88235294117647
6,0,29.4117647058824,17.6470588235294,11.7647058823529
7,0,29.4117647058824,17.6470588235294,11.7647058823529
8,11.7647058823529,29.4117647058824,29.4117647058824,11.7647058823529
9,17.6470588235294,29.4117647058824,35.2941176470588,11.7647058823529
10,35.2941176470588,29.4117647058824,35.2941176470588,11.7647058823529
20,52.9411764705882,52.9411764705882,64.7058823529412,76.4705882352941
30,76.4705882352941,76.4705882352941,82.3529411764706,88.2352941176471
40,100,82.3529411764706,94.1176470588235,94.1176470588235
50,100,88.2352941176471,100,94.1176470588235
60,100,100,100,100
70,100,100,100,100
80,100,100,100,100
90,100,100,100,100
100,100,100,100,100
Inf,100,100,100,100
