Var1,Var2,Var3,Var4,Var5,Var6,Var7
Indicador,Erro Abs(Delta),Erro Delta(Abs),Erro Angle(Delta),Erro Delta(Angle),Erro Pt. Real,Erro Pt. Imag.
MaxErroComp,0.448767069935511,0.315672554291133,0.834919772231333,0.0618973511945453,0.23383903503418,0.433322906494141
MaxErroPercentComp,1.14343464095784,3.08343302823971,0.415067476582634,0.223465439411226,1.85984038118102,1.1433000989728
MinErroComp,0,0,-0.207978376124172,-0.00506914813966475,1.87219202492069e-06,-0.000137402466813626
MinErroPercentComp,0,0,-0.946769399121214,-0.536641923783804,0.298185462999771,-0.465791213088811
MeanAvgErrorComp,0.0245975830856121,0.0242004500581445,-0.0418352880654898,-0.00745681297930291,0.029644836506313,0.00472513498343181
MeanAvgErrorPercentComp,34.8042539214157,148.444221041502,-2.63922330902162,-5.76074448723676,135.808024512834,7.05022883108696
MeanSysErrorPercentComp,6.10412552736427,6.00557316787892,-7.35645297802489,-1.31123022177582,9.05538063147346,2.01579458477505
stdAvgErrorComp,0.0761373784859193,0.070351902836702,0.483040881529376,0.037188305156902,0.0633932295960984,0.0584001771320939
stdAvgErrorPercentComp,50.9208411349449,206.874271075572,101.788972300302,47.7954822355798,137.591974220897,41.0273321621841
cvErrorPercentComp,25.2936630193599,49.058761367286,32.1107372746344,34.1604061093106,1.59679871643476,67.4106681146309
stdSysErrorComp,2.88602325632982,9.8418167068165,111.928822922683,8.38025412647626,7.82421289348701,5.47887885982528
mapeComp,5.95349873925002,8.24781310520419,3.19967746226723,-0.543384078059876,11.9260868128303,-3.01106468048291
stdMapeComp,-1.63601921258333,-3.06058988663549,-0.0292744069341495,-0.0081299564511923,-4.65674582991272,-0.369672361279905
