Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9
Name,Re(Zraiz),Im(Zraiz),Re(Zest),Im(Zest),Erro - Abs(Delta)(%),Erro - Delta(Arg)(%),Erro - Real(%),Erro - Imag(%)
611.3 - 611,27.7393767705382,13.0538243626062,26.7023504163631,10.8977832144545,7.80391077493643,11.9031729860784,3.73846306192645,16.5165478580202
634.1 - 634a,0.325640318302387,0.223877718832891,0.404624001165924,0.109113777679363,35.2545178441599,56.2664694845507,-24.2548844305553,51.2618860652191
634.2 - 634b,0.409221333333333,0.306916,0.375323732762837,0.37865275520839,15.5108933013557,-22.7369169575195,8.28343925630207,-23.3734165727399
634.3 - 634c,0.409221333333333,0.306916,0.341591363769562,0.246783999212418,17.6915111349306,2.7760407364793,16.5265014443134,19.5923317088657
645.2 - 645,21.9921392476137,16.1706906232454,21.8194313732298,29.7388673159057,49.7091287795043,-47.9140307148474,0.785316391640643,-83.9059815612085
646.2.3 - 646,56.5992833172175,32.4830669472726,46.2738399222574,26.8270868755753,18.0407422011789,-0.840069490320974,18.2430638513387,17.4120875989888
652.1 - 652,31.0042052144659,20.8309503784693,42.1695763611985,27.4173053837742,34.7053952876433,2.55349334156309,-36.0124411172554,-31.6181205640646
670.1 - 670a,251.72236503856,148.071979434447,274.151382666842,132.189768566253,9.41052011948187,15.5034229894038,-8.91022044260769,10.7260069925828
670.2 - 670b,65.5448275862069,37.7379310344828,86.460332572027,63.4922695413211,43.866676924642,-21.2493137204627,-31.9102296185176,-68.245231788954
670.3 - 670c,36.8000873696281,21.3880849669634,36.3492225743685,39.8513887362217,43.3906472329554,-57.9029983655197,1.22517316529987,-86.3251843153668
671.1.2.3 - 671.1.2,33.8850909090909,19.3629090909091,29.1621449912106,16.2588454754032,14.4813776026105,2.02989959024825,13.9381237918214,16.030977581583
671.1.2.3 - 671.2.3,33.8850909090909,19.3629090909091,36.638133702478,17.6676240677884,8.28434321007628,13.4497360938135,-8.12464337420009,8.75532191553074
671.1.2.3 - 671.3.1,33.8850909090909,19.3629090909091,31.4967768693966,20.7461067423602,7.07184377129738,-12.1936087405629,7.04827396243926,-7.14354255838828
675.1 - 675a,10.2961393163181,4.03353911360914,10.2787630354509,5.08461764906259,9.50641848102202,-23.0330231096861,0.168765013111659,-26.0584688991144
675.2 - 675b,47.6264591439689,42.0233463035019,52.8108366459315,33.044101355446,16.3242264711938,22.666195682403,-10.8854985131078,21.367277330096
675.3 - 675c,12.9444220575928,9.4628188834816,11.6236151410502,8.97461227378729,8.78201691291394,-4.15752600528843,10.203676229545,5.15920906556218
692.3.1 - 692,56.9031933618305,50.5434246919789,71.4463336546779,34.4498510963061,28.5000362347119,38.1381253221404,-25.5576874225175,31.8410825814634
