Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13
Name,Erro - Abs(Delta),Erro - Delta(Abs),Erro - Arg(Delta),Erro - Delta(Arg),Erro - Real,Erro - Imag,Erro - Abs(Delta)(%),Erro - Delta(Abs)(%),Erro - Arg(Delta)(%),Erro - Delta(Arg)(%),Erro - Real(%),Erro - Imag(%)
611.3 - 611,1.06650577571332,0.524245972558973,-1.3496580503777,0.0429091703395173,-0.00274195491602214,1.33319456128497,3.47878894271231,1.71001520491516,-306.850246680894,9.7555743840958,-0.00988470266907449,10.2130572945658
634.1 - 634a,0.0754430398263246,0.00724202608741847,-0.18612045550745,0.185887115662587,0.0336601249852362,0.0697568465055142,19.0910720238902,1.83261493640869,-30.9022689421974,30.8635266630576,10.3365962669216,31.1584586751943
634.2 - 634b,-0.0241872417325329,5.31612557556072e-05,-1.196677409133,-0.0479001600910267,-0.037068772132916,-0.0036432915095676,-4.72844199700235,0.0103926655675712,-185.963534915589,-7.44367949588319,-9.05836746852136,-1.18706470485984
634.3 - 634c,-0.0130328000157084,0.0685486819092639,-1.59926616012763,-0.176348619898276,-0.00333640313964029,-0.0152480459303756,-2.54782416342746,13.400803198777,-248.525781583598,-27.4045557169234,-0.815305280510046,-4.96814956873398
645.2 - 645,8.30136797170186,8.4365138380364,-0.773684764478283,0.119051756950432,-3.46011765844707,9.75328063406173,30.4108910801063,30.9059789059967,-122.027924313028,18.7772067558764,-15.7334292016295,60.3145583654998
646.2.3 - 646,6.25989518519555,9.01876842587799,-2.0769726618677,-0.0673514784586814,5.66463587777536,2.71118191217744,9.5925082830777,13.8201372816902,-398.638160428127,-12.9269248304596,10.008317324492,8.3464468320627
652.1 - 652,7.31719105865107,11.3718280556717,0.235451691669512,-0.127204615147787,7.10574926570434,2.66241105413194,19.5897023250648,30.4448421145226,39.799156009752,-21.5018048395818,22.9186628605753,12.7810349780478
670.1 - 670a,0,0,0,0,0,0,0,0,0,0,0,0
670.2 - 670b,26.6949351339416,28.4477259585903,-0.317671916287655,0.0378923483505907,15.461493994279,22.2504862822758,35.2955849055301,37.6130948400032,-60.8096917058602,7.25346466926583,23.589190121743,58.9605356529603
670.3 - 670c,14.6655457175319,9.58021002585718,-1.00329894304722,0.227656886884084,-2.70536883789171,16.3412782134743,34.4552568987718,22.5077609754742,-190.567810877877,43.2414235711306,-7.35152830132819,76.4036529624577
671.1.2.3 - 671.1.2,2.41890542819538,3.99337337253864,-2.00723627483448,-0.0593193334254319,1.97186803601609,1.40630954413515,6.19800033918402,10.2322849124152,-386.641875909587,-11.4263271548371,5.81927916707186,7.26290423372083
671.1.2.3 - 671.2.3,0.000376981843622559,0.00284229859304475,0.000969045693465453,-3.3695963867042e-05,0.00196491152291145,-0.00246904825013061,0.000965946649836624,0.00728286746493279,0.186661455584954,-0.00649065127183945,0.00579874945055714,-0.0127514323314664
671.1.2.3 - 671.3.1,-0.472827489541138,-0.333647597067419,-2.06372832368658,-0.00655483230825515,-0.36276384216989,-0.314556419919665,-1.21153349212907,-0.854910611918624,-397.523600206818,-1.26261800452242,-1.07057066231027,-1.62453078947393
675.1 - 675a,0.0758293874240443,-0.0566396329507395,-0.103178215622604,0.0100876035010914,-0.0670337032824904,0.0793450282531118,0.685740768864557,-0.512203866696815,-27.6338362680311,2.70172518301343,-0.651056684676464,1.96713174257818
675.2 - 675b,-7.52409987076435,-1.45915086029297,-0.211337588139711,-0.109818802440926,-6.81351786082508,-4.29454865762687,-11.8460515689232,-2.2973082009494,-29.2314831876463,-15.1897563774467,-14.3061608679089,-10.219435231575
675.3 - 675c,-1.64216433153733,0.673281971174267,-1.97956423667281,-0.155719164602201,-0.786844617595293,-1.7168333591682,-10.2414875094693,4.19897617169465,-313.593202753918,-24.6682934825318,-6.078638459828,-18.1429379586364
692.3.1 - 692,0,0,0,0,0,0,0,0,0,0,0,0
