Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13
Name,Erro - Abs(Delta),Erro - Delta(Abs),Erro - Arg(Delta),Erro - Delta(Arg),Erro - Real,Erro - Imag,Erro - Abs(Delta)(%),Erro - Delta(Abs)(%),Erro - Arg(Delta)(%),Erro - Delta(Arg)(%),Erro - Real(%),Erro - Imag(%)
611.3 - 611,0.00135216498207361,0.00073519712498326,2.62677595344506,0.0429091703395173,0.00126769362471413,0.000492095947265625,4.14538446237112,2.25392224994006,597.208195857085,9.7555743840958,4.29524428138434,3.5430908203125
634.1 - 634a,0.448767069935511,0.0419605209136869,0.000233339844862845,0.185887115662587,0.116718292236328,0.433322906494141,17.7341282289023,1.65817259840788,0.0387422791397398,30.8635266630576,5.59729865312576,30.2258484476263
634.2 - 634b,-0.0887271157717634,0.000187044292658145,-1.32942686594911,-0.0479001600910267,0.117795571094347,-0.199062544293085,-4.53862857736775,0.00956781435424503,-206.592785588528,-7.44367949588319,7.53194697874846,-16.9709666234046
634.3 - 634c,0.0401583808013321,0.338959292893679,0.690894819926634,-0.176348619898276,0.23383903503418,-0.141542631573358,2.05420826700361,17.3386717229594,107.364977384767,-27.4045557169234,14.951862765948,-12.0671384199913
645.2 - 645,0.00669324069249632,0.0080400680203991,-1.88145787112584,0.119051756950432,0.011326883914229,-0.00627662731811479,18.2707746922707,21.9472566519127,-296.749282442848,18.7772067558764,38.378147850564,-28.922698681873
646.2.3 - 646,0.00213064934177887,0.00275209782640594,1.06251685547352,-0.0673514784586814,0.0028377821384453,0.000507999843095163,13.9042273014982,17.959686272148,203.931314295182,-12.9269248304596,21.3519663369909,6.66003188232398
652.1 - 652,0.00301675107196154,0.0058079059434543,-1.17415398594633,-0.127204615147787,0.00463693730448123,0.0003204345703125,11.2682385896642,21.6938250177264,-198.471021103311,-21.5018048395818,20.8662178701655,2.1461664244186
670.1 - 670a,0,0,0,0,0,0,0,0,0,0,0,0
670.2 - 670b,0.00300199796409015,0.00336456579175226,-1.27562863371381,0.0378923483505909,0.00391387939453125,-7.62939453125e-06,22.7048627011292,25.4470540168418,-244.184581545015,7.25346466926588,34.1574928977273,-0.115645559210524
670.3 - 670c,0.00603006322299574,0.00400401030689428,-1.33027276423677,0.227656886884084,0.0078125,-0.000122434211842611,25.6663789030127,17.0426812900415,-252.673612693254,43.2414235711306,38.4615384615385,-1.03708979443153
671.1.2.3 - 671.1.2,0.00230066179241014,0.00329079085232628,1.17393007846232,-0.0593193334254319,0.00381173851743176,-0.000161961833585297,8.97883671112425,12.8430323009561,226.127104922307,-11.4263271548371,17.1336161265629,-1.27402123058805
671.1.2.3 - 671.2.3,9.51642479180871e-08,1.71804232755937e-06,-0.0009353497295983,-3.3695963866931e-05,1.9073486328125e-06,0,0.000371399327624644,0.00670503659983623,-0.180170804313093,-0.00649065127181814,0.00857345779220781,0
671.1.2.3 - 671.3.1,-0.000161538106591242,-0.000145390560366946,-0.00630130099125581,-0.0065548323082551,3.814697265625e-06,-0.000161961833585297,-0.63043785335675,-0.567418516350508,-1.21378178865911,-1.26261800452241,0.0171469155844156,-1.27402123058805
675.1 - 675a,0.000635783882609813,-0.000428582180792725,0.0930906121215129,0.0100876035010914,0,0.0009765625,0.703051423239867,-0.473927258024708,24.9321110850178,2.70172518301343,0,2.96052631578948
675.2 - 675b,-0.00163534297278492,-0.000328924830281336,0.321156390580636,-0.109818802440926,0,-0.001953125,-10.3869916305833,-2.08918833301681,44.4212395650928,-15.1897563774467,0,-18.75
675.3 - 675c,-0.00540394954496224,0.00320733655133102,0.318378824724826,-0.155719164602201,-3.814697265625e-06,-0.00600378917837117,-8.66492605098557,5.1427819239753,50.4360674358803,-24.6682934825317,-0.00757677801724022,-16.3121819185934
692.3.1 - 692,0,0,0,0,0,0,0,0,0,0,0,0
