Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9
Name,Re(Yraiz),Im(Yraiz),Re(Yest),Im(Yest),Erro - Abs(Delta)(%),Erro - Delta(Arg)(%),Erro - Real(%),Erro - Imag(%)
611.3 - 611,0.0295138888888889,-0.0138888888888889,0.0321027680498788,-0.013101805696367,8.29552585115886,11.9031729860784,-8.77173174547158,5.66699898615736
634.1 - 634a,2.08526111379009,-1.43361701573069,2.30389055365785,-0.621283465501399,33.2436532980804,56.2664694845507,-10.4845114322584,56.6632190686756
634.2 - 634b,1.56394583534257,-1.17295937650693,1.3204195631621,-1.33213133617191,14.8818886615823,-22.7369169575195,15.5712727817797,-13.5701169923715
634.3 - 634c,1.56394583534257,-1.17295937650693,1.92351557146288,-1.38965124889163,21.4747255059537,2.7760407364793,-22.9911885689792,-18.4739451957847
645.2 - 645,0.0295138888888889,-0.0217013888888889,0.0160379469317744,-0.0218589736673315,36.788268097942,-47.9140307148474,45.6596621605761,-0.726150659063521
646.2.3 - 646,0.0132904955621302,-0.00762758875739645,0.0161742303813528,-0.00937695000706903,22.0106729938366,-0.840069490320974,-21.6977222989302,-22.9346560926771
652.1 - 652,0.0222222222222222,-0.0149305555555556,0.0166679366144152,-0.0108369575345154,25.7723994937158,2.55349334156309,24.9942852351316,27.4175867455713
670.1 - 670a,0.00295138888888889,-0.00173611111111111,0.00295953969693381,-0.00142702496626013,9.02980090570026,15.5034229894038,-0.276168554933694,17.8033619434166
670.2 - 670b,0.0114583333333333,-0.00659722222222222,0.00751393993639089,-0.00551787259621274,30.9291960529905,-21.2493137204627,34.4237969187704,16.3606680153016
670.3 - 670c,0.0203125,-0.0118055555555556,0.01249372138398,-0.0136974634496343,34.2402722381283,-57.9029983655197,38.4924485711754,-16.0255727498431
671.1.2.3 - 671.1.2,0.0222471338757396,-0.0127126479289941,0.0261595338961743,-0.0145847920122014,16.9270953159487,2.02989959024825,-17.586085660684,-14.7266257483423
671.1.2.3 - 671.2.3,0.0222471338757396,-0.0127126479289941,0.022144565024104,-0.0106785420122014,7.94863000415204,13.4497360938135,0.46104299191337,16.0006469789304
671.1.2.3 - 671.3.1,0.0222471338757396,-0.0127126479289941,0.0221426576754712,-0.0145847920122014,7.31782075146767,-12.1936087405629,0.469616449705578,-14.7266257483423
675.1 - 675a,0.0842013888888889,-0.0329861111111111,0.0781617500660827,-0.0386644397284902,9.16687303807692,-23.0330231096861,7.17284940605435,-17.2143014926859
675.2 - 675b,0.0118055555555556,-0.0104166666666667,0.0136078940675134,-0.00851455230326724,16.6436080526234,22.666195682403,-15.2668673954077,18.2602978886345
675.3 - 675c,0.0503472222222222,-0.0368055555555556,0.0538998481454113,-0.04161616096637,9.58894889766994,-4.15752600528845,-7.0562501095066,-13.0703241350429
692.3.1 - 692,0.00982340976331361,-0.00872549926035503,0.0113562426295151,-0.00547573049012155,27.3470169275681,38.1381253221404,-15.6038779113739,37.2445022716241
